Time,Wavelength,Power
2024-06-19T13:53:23.457,1530.33334,-31.3,1530.33353
2024-06-19T13:53:23.701,1530.33307,-31.2,1530.33333
2024-06-19T13:53:23.945,1530.33340,-31.3,1530.33306
2024-06-19T13:53:24.217,1530.33391,-31.4,1530.33339
2024-06-19T13:53:24.454,1530.33343,-31.4,1530.33392
2024-06-19T13:53:24.700,1530.33341,-31.4,1530.33341
2024-06-19T13:53:24.937,1530.33375,-31.6,1530.33339
2024-06-19T13:53:25.192,1530.33411,-31.5,1530.33376
2024-06-19T13:53:25.421,1530.33349,-31.5,1530.33413
2024-06-19T13:53:25.662,1530.33322,-31.6,1530.33347
2024-06-19T13:53:25.910,1530.33355,-31.5,1530.33322
2024-06-19T13:53:26.141,1530.33369,-31.5,1530.33353
2024-06-19T13:53:26.388,1530.33326,-31.6,1530.33368
2024-06-19T13:53:26.617,1530.33359,-31.5,1530.33325
2024-06-19T13:53:26.880,1530.33334,-31.7,1530.33357
2024-06-19T13:53:27.101,1530.33346,-31.7,1530.33336
2024-06-19T13:53:27.350,1530.33338,-31.7,1530.33345
2024-06-19T13:53:27.589,1530.33343,-31.7,1530.33336
2024-06-19T13:53:27.841,1530.33372,-31.7,1530.33344
2024-06-19T13:53:28.070,1530.33338,-31.5,1530.33373
2024-06-19T13:53:28.558,1530.34539,-35.6,1530.49728
2024-06-19T13:53:28.790,1530.34526,-35.4,1530.34545
2024-06-19T13:53:29.041,1530.31202,-35.1,1530.34521
2024-06-19T13:53:29.309,1530.31344,-35.3,1530.31176
2024-06-19T13:53:29.594,1530.31246,-35.2,1530.31296
2024-06-19T13:53:30.935,1530.73346,-31.3,0
2024-06-19T13:53:31.211,1530.72518,-31.2,1530.73347
2024-06-19T13:53:31.449,1530.72539,-31.4,1530.72517
2024-06-19T13:53:31.695,1530.72390,-31.4,1530.72538
2024-06-19T13:53:31.937,1530.72365,-31.5,1530.72389
2024-06-19T13:53:32.185,1530.72388,-31.5,1530.72365
2024-06-19T13:53:32.416,1530.72364,-31.8,1530.72388
2024-06-19T13:53:32.665,1530.72331,-31.6,1530.72364
2024-06-19T13:53:32.896,1530.72371,-31.4,1530.72330
2024-06-19T13:53:33.160,1530.72394,-31.5,1530.72371
2024-06-19T13:53:33.383,1530.72390,-31.6,1530.72394
2024-06-19T13:53:33.627,1530.72369,-31.5,1530.72389
2024-06-19T13:53:33.866,1530.72396,-31.5,1530.72369
2024-06-19T13:53:34.123,1530.72440,-31.5,1530.72396
2024-06-19T13:53:34.350,1530.72414,-31.6,1530.72440
2024-06-19T13:53:34.592,1530.72449,-31.6,1530.72414
2024-06-19T13:53:34.839,1530.72491,-31.8,1530.72448
2024-06-19T13:53:35.070,1530.72473,-31.7,1530.72491
2024-06-19T13:53:35.319,1530.72474,-31.7,1530.72473
2024-06-19T13:53:35.544,1530.72460,-31.8,1530.72473
2024-06-19T13:53:35.807,1530.72499,-31.9,1530.72460
2024-06-19T13:53:36.034,1530.72502,-31.9,1530.72499
2024-06-19T13:53:36.278,1530.72472,-31.9,1530.72502
2024-06-19T13:53:36.515,1530.72486,-31.9,1530.72471
2024-06-19T13:53:36.772,1530.72491,-32.0,1530.72485
2024-06-19T13:53:36.994,1530.72443,-32.0,1530.72490
2024-06-19T13:53:37.236,1530.72450,-31.9,1530.72443
2024-06-19T13:53:37.483,1530.72480,-32.1,1530.72449
2024-06-19T13:53:37.715,1530.72462,-32.0,1530.72480
2024-06-19T13:53:37.967,1530.72486,-32.2,1530.72462
2024-06-19T13:53:40.793,1531.10074,-31.5,0
2024-06-19T13:53:41.027,1531.10273,-31.5,1531.10074
2024-06-19T13:53:41.278,1531.10932,-31.4,1531.10272
2024-06-19T13:53:41.521,1531.11672,-31.6,1531.10933
2024-06-19T13:53:41.770,1531.11843,-31.5,1531.11672
2024-06-19T13:53:41.999,1531.11864,-31.5,1531.11843
2024-06-19T13:53:42.248,1531.11852,-31.5,1531.11863
2024-06-19T13:53:42.475,1531.11871,-31.7,1531.11851
2024-06-19T13:53:42.737,1531.11825,-31.7,1531.11871
2024-06-19T13:53:42.961,1531.11774,-31.7,1531.11825
2024-06-19T13:53:43.205,1531.11733,-32.1,1531.11774
2024-06-19T13:53:43.450,1531.11823,-31.9,1531.11733
2024-06-19T13:53:43.705,1531.11763,-32.1,1531.11823
2024-06-19T13:53:43.932,1531.11725,-31.9,1531.11763
2024-06-19T13:53:44.173,1531.11638,-31.9,1531.11725
2024-06-19T13:53:44.421,1531.11659,-32.0,1531.11638
2024-06-19T13:53:44.653,1531.11565,-32.4,1531.11659
2024-06-19T13:53:44.902,1531.11617,-31.9,1531.11565
2024-06-19T13:53:45.134,1531.11613,-31.9,1531.11617
2024-06-19T13:53:45.396,1531.11594,-32.1,1531.11614
2024-06-19T13:53:45.623,1531.11580,-32.0,1531.11594
2024-06-19T13:53:45.871,1531.11534,-32.3,1531.11580
2024-06-19T13:53:46.104,1531.11555,-32.3,1531.11534
2024-06-19T13:53:46.359,1531.11599,-32.1,1531.11555
2024-06-19T13:53:46.585,1531.11593,-32.1,1531.11599
2024-06-19T13:53:46.827,1531.11626,-32.3,1531.11593
2024-06-19T13:53:47.073,1531.11664,-32.3,1531.11626
2024-06-19T13:53:47.304,1531.11670,-32.4,1531.11664
2024-06-19T13:53:47.556,1531.11647,-32.3,1531.11669
2024-06-19T13:53:47.796,1531.11600,-32.4,1531.11647
2024-06-19T13:53:49.566,1531.50877,-33.2,1530.08616
2024-06-19T13:53:49.829,1531.50794,-31.8,1531.50970
2024-06-19T13:53:50.127,1531.50733,-31.6,1531.50795
2024-06-19T13:53:50.380,1531.50611,-31.7,1531.50733
2024-06-19T13:53:50.611,1531.50573,-31.6,1531.50612
2024-06-19T13:53:50.861,1531.50555,-31.5,1531.50574
2024-06-19T13:53:51.103,1531.50584,-31.6,1531.50556
2024-06-19T13:53:51.354,1531.50604,-31.6,1531.50586
2024-06-19T13:53:51.584,1531.50556,-31.7,1531.50604
2024-06-19T13:53:51.834,1531.50578,-31.8,1531.50557
2024-06-19T13:53:52.065,1531.50594,-31.6,1531.50579
2024-06-19T13:53:52.328,1531.50605,-32.0,1531.50595
2024-06-19T13:53:52.554,1531.50588,-31.8,1531.50606
2024-06-19T13:53:52.801,1531.50621,-31.9,1531.50589
2024-06-19T13:53:53.041,1531.50659,-32.1,1531.50621
2024-06-19T13:53:53.298,1531.50677,-31.8,1531.50659
2024-06-19T13:53:53.526,1531.50653,-32.0,1531.50677
2024-06-19T13:53:53.766,1531.50661,-31.9,1531.50653
2024-06-19T13:53:54.013,1531.50682,-31.9,1531.50662
2024-06-19T13:53:54.274,1531.50639,-32.1,1531.50682
2024-06-19T13:53:54.517,1531.50649,-32.0,1531.50640
2024-06-19T13:53:54.752,1531.50664,-32.0,1531.50649
2024-06-19T13:53:55.006,1531.50688,-32.0,1531.50665
2024-06-19T13:53:55.241,1531.50673,-32.2,1531.50688
2024-06-19T13:53:55.490,1531.50640,-32.3,1531.50674
2024-06-19T13:53:55.734,1531.50619,-32.3,1531.50641
2024-06-19T13:53:55.983,1531.50683,-32.2,1531.50620
2024-06-19T13:53:56.214,1531.50663,-32.4,1531.50683
2024-06-19T13:53:56.462,1531.50704,-32.1,1531.50664
